yields.id,genus,species,sitename,lat,lon,fertilizer_n,irrigated,planting_year,year,stand_age,planting_density,yield
1086,Miscanthus,Miscanthus x giganteus,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,0
1087,Miscanthus,Miscanthus x giganteus,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,0
1088,Miscanthus,Miscanthus x giganteus,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.1
1089,Miscanthus,Miscanthus x giganteus,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,0
1090,Miscanthus,Miscanthus x giganteus,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,0
1091,Miscanthus,Miscanthus sacchariflorus,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.5
1092,Miscanthus,Miscanthus sacchariflorus,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,0
1093,Miscanthus,Miscanthus sacchariflorus,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,0
1094,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.2
1095,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,5
1096,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,19.3
1097,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.4
1098,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,3.8
1099,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,11
1100,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.4
1101,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,9.5
1102,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,24.7
