"yields.id","genus","species","lat","lon","fertilizer_n","planting_date","planting_density","year","yield","irrigated"
1153,"Miscanthus","Miscanthus sinensis Hybrid",56.5,9.58,60,1996,"20000",1999,18.2,TRUE
1154,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1997,0.4,TRUE
1155,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1998,5.2,TRUE
1156,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1999,15,TRUE
1157,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1997,0.3,TRUE
1158,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1998,3.1,TRUE
1159,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1999,12.4,TRUE
1160,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1997,0.3,TRUE
1161,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1998,3.3,TRUE
1162,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1999,11.2,TRUE
1163,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1997,0.6,TRUE
1164,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1998,2.4,TRUE
1165,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1999,9.9,TRUE
1166,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1997,0.2,TRUE
1167,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1998,1.9,TRUE
1168,"Miscanthus","Miscanthus sinensis",56.5,9.58,60,1996,"20000",1999,6.8,TRUE
1169,"Miscanthus","Miscanthus x giganteus",51.8,-0.35,60,1997,"20000",1997,0.6,TRUE
1170,"Miscanthus","Miscanthus x giganteus",51.8,-0.35,60,1997,"20000",1998,3,TRUE
1171,"Miscanthus","Miscanthus x giganteus",51.8,-0.35,60,1997,"20000",1999,13.8,TRUE
1172,"Miscanthus","Miscanthus x giganteus",51.8,-0.35,60,1997,"20000",1997,0.8,TRUE
1173,"Miscanthus","Miscanthus x giganteus",51.8,-0.35,60,1997,"20000",1998,5.7,TRUE
1174,"Miscanthus","Miscanthus x giganteus",51.8,-0.35,60,1997,"20000",1999,16.8,TRUE
1175,"Miscanthus","Miscanthus x giganteus",51.8,-0.35,60,1997,"20000",1997,0.9,TRUE
1176,"Miscanthus","Miscanthus x giganteus",51.8,-0.35,60,1997,"20000",1998,5.9,TRUE
1177,"Miscanthus","Miscanthus x giganteus",51.8,-0.35,60,1997,"20000",1999,18.7,TRUE
1178,"Miscanthus","Miscanthus x giganteus",51.8,-0.35,60,1997,"20000",1997,0.8,TRUE
1179,"Miscanthus","Miscanthus x giganteus",51.8,-0.35,60,1997,"20000",1998,5.3,TRUE
1180,"Miscanthus","Miscanthus x giganteus",51.8,-0.35,60,1997,"20000",1999,14.6,TRUE
1181,"Miscanthus","Miscanthus sacchariflorus",51.8,-0.35,60,1997,"20000",1997,0.4,TRUE
1182,"Miscanthus","Miscanthus sacchariflorus",51.8,-0.35,60,1997,"20000",1998,1.9,TRUE
1183,"Miscanthus","Miscanthus sacchariflorus",51.8,-0.35,60,1997,"20000",1999,11.1,TRUE
1184,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1997,1.4,TRUE
1185,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1998,7,TRUE
1186,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1999,15.7,TRUE
1187,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1997,1.2,TRUE
1188,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1998,5.9,TRUE
1189,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1999,17.7,TRUE
1190,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1997,0.2,TRUE
1191,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1998,1.4,TRUE
1192,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1999,6.5,TRUE
1193,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1997,1.7,TRUE
1194,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1998,7.7,TRUE
1195,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1999,15.8,TRUE
